,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
485,56,0.14956855225311602,1400,0.1383975026014568,7,3,0.14686468646864687,1,112,4,1,49,1,3,0.06896586105729074,4,0,7260,21698,4,1,0,11,3,1,80,0,37,3,2,6,4,0,2
486,41,0.14956855225311602,796,0.2062780269058296,4,1,0.22012573203437844,1,1815,3,0,81,3,3,0.17484662576687046,3,2,10447,26458,0,1,1,13,3,4,80,1,23,3,4,22,14,13,5
487,31,0.14956855225311602,202,0.1383975026014568,8,3,0.14686468646864687,1,1433,1,0,34,2,1,0.16095890410958943,2,0,1261,22262,1,1,0,12,3,3,80,0,1,3,4,1,0,0,0
488,54,0.2490974729235817,1050,0.1383975026014568,11,4,0.13577586206896552,1,1520,2,0,87,3,4,0.04905041685272943,4,2,16032,24456,3,1,0,20,4,1,80,1,26,2,3,14,9,1,12
489,57,0.14956855225311602,593,0.1383975026014568,1,4,0.13577586206896552,1,482,4,1,88,3,2,0.06870368828064846,3,1,6755,2967,2,1,0,11,3,3,80,0,15,2,3,3,2,1,2
490,29,0.14956855225311602,468,0.1383975026014568,28,4,0.13577586206896552,1,2054,4,0,73,2,1,0.16095890410958943,1,0,3785,8489,1,1,0,14,3,2,80,0,5,3,1,5,4,0,4
491,32,0.14956855225311602,515,0.1383975026014568,1,3,0.14686468646864687,1,331,4,1,62,2,1,0.23938223937897848,3,0,3730,9571,0,1,1,14,3,4,80,0,4,2,1,3,2,1,2
492,28,0.14956855225311602,1476,0.1383975026014568,16,2,0.13577586206896552,1,412,2,1,68,4,2,0.06870368828064846,1,0,5661,4824,0,1,0,19,3,3,80,0,9,2,3,8,3,0,7
493,44,0.2490974729235817,429,0.1383975026014568,1,2,0.13577586206896552,1,1792,3,1,99,3,1,0.16095890410958943,2,2,2342,11092,1,1,1,12,3,3,80,3,6,2,2,5,3,2,3
494,30,0.2490974729235817,721,0.1383975026014568,1,2,0.13577586206896552,1,57,3,0,58,3,2,0.23938223937897848,4,0,4011,10781,1,1,0,23,4,4,80,0,12,2,3,12,8,3,7
495,52,0.08000018359368788,715,0.1383975026014568,19,4,0.13577586206896552,1,791,4,1,41,3,1,0.16095890410958943,4,1,4258,26589,0,1,0,18,3,1,80,1,5,3,3,4,3,1,2
496,35,0.14956855225311602,662,0.2062780269058296,1,5,0.22012573203437844,1,204,3,1,94,3,3,0.17484662576687046,2,1,7295,11439,1,1,0,13,3,1,80,2,10,3,3,10,8,0,6
497,37,0.14956855225311602,589,0.2062780269058296,9,2,0.22012573203437844,1,1787,2,1,46,2,2,0.17484662576687046,2,1,4189,8800,1,1,0,14,3,1,80,2,5,2,3,5,2,0,3
498,44,0.08000018359368788,981,0.1383975026014568,5,3,0.14686468646864687,1,1471,3,1,90,2,1,0.23938223937897848,3,0,3162,7973,3,1,0,14,3,4,80,0,7,5,3,5,2,0,3
499,53,0.14956855225311602,607,0.1383975026014568,2,5,0.24242313209808733,1,1572,3,0,78,2,3,0.06896586105729074,4,1,10169,14618,0,1,0,16,3,2,80,1,34,4,3,33,7,1,9
500,34,0.14956855225311602,943,0.1383975026014568,9,3,0.14686468646864687,1,1344,4,1,86,3,3,0.06870368828064846,4,2,8500,5494,0,1,0,11,3,4,80,1,10,0,2,9,7,1,6
501,41,0.14956855225311602,509,0.1383975026014568,7,2,0.24242313209808733,1,1085,2,0,43,4,1,0.16095890410958943,3,1,3376,18863,1,1,0,13,3,3,80,0,10,3,3,10,6,0,8
502,41,0.14956855225311602,1283,0.1383975026014568,5,5,0.13577586206896552,1,1448,2,1,90,4,1,0.16095890410958943,3,1,2127,5561,2,1,1,12,3,1,80,0,7,5,2,4,2,0,3
503,26,0.2490974729235817,1479,0.1383975026014568,1,3,0.14686468646864687,1,384,3,0,84,3,2,0.06896586105729074,2,2,6397,26767,1,1,0,20,4,1,80,1,6,6,1,6,5,1,4
504,39,0.2490974729235817,945,0.1383975026014568,22,3,0.13577586206896552,1,1043,4,0,82,3,3,0.06896586105729074,1,0,10880,5083,1,1,1,13,3,3,80,0,21,2,3,21,6,2,8
505,55,0.08000018359368788,177,0.1383975026014568,8,1,0.13577586206896552,1,1278,4,1,37,2,4,0.06870368828064846,2,2,13577,25592,1,1,1,15,3,4,80,1,34,3,3,33,9,15,0
506,53,0.14956855225311602,1070,0.1383975026014568,3,4,0.13577586206896552,1,386,3,1,45,3,4,0.02533683182797013,3,1,17584,21016,3,1,1,16,3,4,80,3,21,5,2,5,3,1,3
507,43,0.14956855225311602,589,0.1383975026014568,14,2,0.14686468646864687,1,843,2,1,94,3,4,0.02533683182797013,1,1,17159,5200,6,1,0,24,4,3,80,1,22,3,3,4,1,1,0
508,32,0.14956855225311602,1018,0.1383975026014568,2,4,0.13577586206896552,1,439,1,0,74,4,2,0.16095890410958943,4,0,5055,10557,7,1,0,16,3,3,80,0,10,0,2,7,7,0,7
509,37,0.14956855225311602,124,0.1383975026014568,3,3,0.13420118338933018,1,1062,4,0,35,3,2,0.06870368828064846,2,0,4107,13848,3,1,0,15,3,1,80,0,8,3,2,4,3,0,1
510,28,0.14956855225311602,1158,0.1383975026014568,9,3,0.13577586206896552,1,377,4,1,94,3,1,0.16095890410958943,4,1,2070,2613,1,1,0,23,4,4,80,1,5,3,2,5,2,0,4
511,36,0.14956855225311602,913,0.1383975026014568,9,2,0.13577586206896552,1,699,2,1,48,2,2,0.06896586105729074,2,2,8847,13934,2,1,1,11,3,3,80,1,13,2,3,3,2,0,2
512,26,0.14956855225311602,482,0.1383975026014568,1,2,0.14686468646864687,1,1893,2,0,90,2,1,0.16095890410958943,3,1,2933,14908,1,1,1,13,3,3,80,1,1,3,2,1,0,1,0
513,38,0.08000018359368788,1327,0.2062780269058296,2,2,0.14686468646864687,1,361,4,1,39,2,2,0.17484662576687046,4,1,5249,19682,3,1,0,18,3,4,80,1,13,0,3,8,7,7,5
514,51,0.2490974729235817,1150,0.1383975026014568,8,4,0.14686468646864687,1,179,1,1,53,1,3,0.06896586105729074,4,0,10650,25150,2,1,0,15,3,4,80,0,18,2,3,4,2,0,3
515,32,0.08000018359368788,1146,0.1383975026014568,15,4,0.13577586206896552,1,1955,3,0,34,3,2,0.06870368828064846,4,2,6667,16542,5,1,0,18,3,2,80,1,9,6,3,5,1,1,2
516,42,0.14956855225311602,269,0.1383975026014568,2,3,0.13577586206896552,1,351,4,0,56,2,1,0.23938223937897848,1,2,2593,8007,0,1,1,11,3,3,80,1,10,4,3,9,6,7,8
517,33,0.08000018359368788,1313,0.1383975026014568,1,2,0.13577586206896552,1,1994,2,1,59,2,1,0.23938223937897848,3,2,2008,20439,1,1,0,12,3,3,80,3,1,2,2,1,1,0,0
518,33,0.14956855225311602,603,0.2062780269058296,9,4,0.22012573203437844,1,1157,1,0,77,3,2,0.17484662576687046,1,0,8224,18385,0,1,1,17,3,1,80,0,6,3,3,5,2,0,3
519,27,0.14956855225311602,1240,0.1383975026014568,2,4,0.14686468646864687,1,54,4,0,33,3,1,0.23938223937897848,1,2,2341,19715,1,1,0,13,3,4,80,1,1,6,3,1,0,0,0
520,32,0.14956855225311602,1373,0.1383975026014568,5,4,0.14686468646864687,1,1966,4,1,56,2,2,0.06896586105729074,4,0,9679,10138,8,1,0,24,4,2,80,0,8,1,3,1,0,0,0
521,34,0.2490974729235817,303,0.2062780269058296,2,4,0.22012573203437844,1,216,3,0,75,3,1,0.3971571172349599,3,1,2231,11314,6,1,0,18,3,4,80,1,6,3,3,4,3,1,2
522,30,0.14956855225311602,793,0.1383975026014568,16,1,0.14686468646864687,1,1729,2,1,33,3,1,0.16095890410958943,4,1,2862,3811,1,1,0,12,3,2,80,1,10,2,2,10,0,0,8
523,48,0.14956855225311602,277,0.1383975026014568,6,3,0.14686468646864687,1,1022,1,1,97,2,2,0.06870368828064846,3,0,4240,13119,2,1,0,13,3,4,80,0,19,0,3,2,2,2,2
524,40,0.2490974729235817,530,0.1383975026014568,1,4,0.14686468646864687,1,119,3,1,78,2,4,0.06870368828064846,2,1,13503,14115,1,1,0,22,4,4,80,1,22,3,2,22,3,11,11
525,41,0.14956855225311602,933,0.1383975026014568,9,4,0.14686468646864687,1,200,3,1,94,3,1,0.23938223937897848,1,1,2238,6961,2,1,0,21,4,4,80,1,7,2,3,5,0,1,4
526,49,0.14956855225311602,464,0.1383975026014568,16,3,0.13577586206896552,1,1674,4,0,74,3,1,0.23938223937897848,1,2,2587,24941,4,1,1,16,3,2,80,1,17,2,2,2,2,2,2
527,34,0.14956855225311602,216,0.2062780269058296,1,4,0.22012573203437844,1,1047,2,1,75,4,2,0.17484662576687046,4,2,9725,12278,0,1,0,11,3,4,80,1,16,2,2,15,1,0,9
528,36,0.2490974729235817,635,0.1383975026014568,18,1,0.13577586206896552,1,286,2,0,73,3,1,0.23938223937897848,4,0,2153,7703,1,1,0,13,3,1,80,0,8,2,3,8,1,1,7
529,29,0.14956855225311602,991,0.2062780269058296,5,3,0.13577586206896552,1,1669,1,1,43,2,2,0.17484662576687046,2,2,4187,3356,1,1,1,13,3,2,80,1,10,3,2,10,0,0,9
530,26,0.14956855225311602,1357,0.1383975026014568,25,3,0.14686468646864687,1,55,1,1,48,1,1,0.23938223937897848,3,0,2293,10558,1,1,0,12,3,3,80,0,1,2,2,1,0,0,1
531,28,0.14956855225311602,1434,0.1383975026014568,5,4,0.24242313209808733,1,65,3,1,50,3,1,0.23938223937897848,3,0,3441,11179,1,1,1,13,3,3,80,0,2,3,2,2,2,2,2
532,50,0.2490974729235817,809,0.2062780269058296,12,3,0.22012573203437844,1,174,3,0,77,3,3,0.17484662576687046,4,0,9208,6645,4,1,0,11,3,4,80,0,16,3,3,2,2,2,1
533,24,0.14956855225311602,1448,0.2062780269058296,1,1,0.24242313209808733,1,554,1,0,62,3,1,0.3971571172349599,2,0,3202,21972,1,1,1,16,3,2,80,0,6,4,3,5,3,1,4
534,42,0.14956855225311602,544,0.19008460036286423,2,1,0.24242313209808733,1,470,3,1,52,3,1,0.22804546072229726,3,2,2696,24017,0,1,1,11,3,3,80,1,4,5,3,3,2,1,0
535,48,0.14956855225311602,817,0.2062780269058296,2,1,0.22012573203437844,1,712,2,1,56,4,2,0.17484662576687046,2,1,8120,18597,3,1,0,12,3,4,80,0,12,3,3,2,2,2,2
536,38,0.14956855225311602,827,0.1383975026014568,1,4,0.14686468646864687,1,724,2,0,33,4,2,0.06870368828064846,4,0,7625,19383,0,1,0,13,3,3,80,0,10,4,2,9,7,1,8
537,38,0.14956855225311602,345,0.2062780269058296,10,2,0.14686468646864687,1,2041,1,0,100,3,2,0.17484662576687046,4,1,5343,5982,1,1,0,11,3,3,80,1,10,1,3,10,7,1,9
538,25,0.14956855225311602,141,0.2062780269058296,3,1,0.13420118338933018,1,879,3,1,98,3,2,0.17484662576687046,1,1,4194,14363,1,1,1,18,3,4,80,0,5,3,3,5,3,0,3
539,45,0.14956855225311602,556,0.1383975026014568,25,2,0.14686468646864687,1,1888,2,0,93,2,2,0.06896586105729074,4,1,5906,23888,0,1,0,13,3,4,80,2,10,2,2,9,8,3,8
540,32,0.2490974729235817,1125,0.1383975026014568,16,1,0.14686468646864687,1,33,2,0,72,1,1,0.16095890410958943,1,0,3919,4681,1,1,1,22,4,2,80,0,10,5,3,10,2,6,7
541,42,0.14956855225311602,462,0.2062780269058296,14,2,0.13577586206896552,1,936,3,0,68,2,2,0.17484662576687046,3,0,6244,7824,7,1,0,17,3,1,80,0,10,6,3,5,4,0,3
542,51,0.14956855225311602,1302,0.1383975026014568,2,3,0.13577586206896552,1,408,4,1,84,1,2,0.06896586105729074,2,2,5482,16321,5,1,0,18,3,4,80,1,13,3,3,4,1,1,2
543,45,0.14956855225311602,1457,0.1383975026014568,7,3,0.13577586206896552,1,1195,1,0,83,3,1,0.16095890410958943,3,1,4477,20100,4,1,1,19,3,3,80,1,7,2,2,3,2,0,2
544,50,0.08000018359368788,881,0.1383975026014568,2,4,0.14686468646864687,1,905,1,1,98,3,4,0.04905041685272943,1,2,17924,4544,1,1,0,11,3,4,80,1,31,3,3,31,6,14,7
545,38,0.2490974729235817,1186,0.1383975026014568,3,4,0.13420118338933018,1,1060,3,1,44,3,1,0.16095890410958943,3,1,2821,2997,3,1,0,16,3,1,80,1,8,2,3,2,2,2,2
546,35,0.14956855225311602,195,0.2062780269058296,1,3,0.13577586206896552,1,620,1,0,80,3,2,0.17484662576687046,3,0,4859,6698,1,1,0,16,3,4,80,0,5,3,3,5,4,0,3
547,34,0.14956855225311602,1326,0.2062780269058296,3,3,0.13420118338933018,1,1478,4,1,81,1,2,0.17484662576687046,1,0,4759,15891,3,1,0,18,3,4,80,0,15,2,3,13,9,3,12
548,40,0.14956855225311602,1202,0.1383975026014568,2,1,0.13577586206896552,1,1375,2,0,89,4,2,0.06870368828064846,3,2,6377,13888,5,1,0,20,4,2,80,3,15,0,3,12,11,11,8
549,52,0.14956855225311602,994,0.1383975026014568,7,4,0.14686468646864687,1,1118,2,1,87,3,3,0.06870368828064846,2,0,10445,15322,7,1,0,19,3,4,80,0,18,4,3,8,6,4,0
550,30,0.14956855225311602,1358,0.1383975026014568,24,1,0.14686468646864687,1,11,4,1,67,3,1,0.23938223937897848,3,2,2693,13335,1,1,0,22,4,2,80,1,1,2,3,1,0,0,0
551,35,0.14956855225311602,819,0.1383975026014568,18,5,0.14686468646864687,1,1621,2,1,48,4,2,0.16095890410958943,1,1,5208,26312,1,1,0,11,3,4,80,0,16,2,3,16,15,1,10
552,36,0.08000018359368788,427,0.1383975026014568,8,3,0.14686468646864687,1,742,1,0,63,4,3,0.02533683182797013,1,1,11713,20335,9,1,0,14,3,1,80,1,10,2,3,8,7,0,5
553,52,0.14956855225311602,699,0.1383975026014568,1,4,0.14686468646864687,1,259,3,1,65,2,5,0.04905041685272943,3,1,19999,5678,0,1,0,14,3,1,80,1,34,5,3,33,18,11,9
554,21,0.2490974729235817,756,0.2062780269058296,1,1,0.24242313209808733,1,478,1,0,99,2,1,0.3971571172349599,2,0,2174,9150,1,1,1,11,3,3,80,0,3,3,3,3,2,1,2
555,36,0.14956855225311602,318,0.1383975026014568,9,3,0.13577586206896552,1,90,4,1,79,2,1,0.16095890410958943,3,1,3388,21777,0,1,1,17,3,1,80,1,2,0,2,1,0,0,0
556,31,0.14956855225311602,192,0.1383975026014568,2,4,0.14686468646864687,1,426,3,1,32,3,1,0.16095890410958943,4,2,2695,7747,0,1,1,18,3,2,80,1,3,2,1,2,2,2,2
557,23,0.14956855225311602,885,0.1383975026014568,4,3,0.13577586206896552,1,705,1,1,58,4,1,0.16095890410958943,1,1,2819,8544,2,1,0,16,3,1,80,1,5,3,4,3,2,0,2
558,45,0.14956855225311602,1385,0.1383975026014568,20,2,0.13577586206896552,1,372,3,1,79,3,4,0.06870368828064846,4,1,13496,7501,0,1,1,14,3,2,80,0,21,2,3,20,7,4,10
559,30,0.08000018359368788,990,0.1383975026014568,7,3,0.24242313209808733,1,1482,3,1,64,3,1,0.16095890410958943,3,2,1274,7152,1,1,0,13,3,2,80,2,1,2,2,1,0,0,0
560,49,0.2490974729235817,1064,0.1383975026014568,2,1,0.14686468646864687,1,1941,2,1,42,3,5,0.02533683182797013,4,1,19161,13738,3,1,0,15,3,4,80,0,28,3,3,5,4,4,3
561,34,0.14956855225311602,810,0.2062780269058296,8,2,0.24242313209808733,1,1823,2,1,92,4,2,0.17484662576687046,3,1,6799,22128,1,1,0,21,4,3,80,2,10,5,3,10,8,4,8
562,53,0.14956855225311602,661,0.2062780269058296,7,2,0.22012573203437844,1,862,1,0,78,2,3,0.17484662576687046,4,1,10934,20715,7,1,1,18,3,4,80,1,35,3,3,5,2,0,4
563,32,0.14956855225311602,1093,0.2062780269058296,6,4,0.13577586206896552,1,125,2,1,87,3,2,0.17484662576687046,3,0,5010,24301,1,1,0,16,3,1,80,0,12,0,3,11,8,5,7
564,27,0.14956855225311602,1157,0.1383975026014568,17,3,0.24242313209808733,1,233,3,1,51,3,1,0.16095890410958943,2,1,3058,13364,0,1,1,16,3,4,80,1,6,3,2,5,2,1,1
565,34,0.08000018359368788,1065,0.2062780269058296,23,4,0.22012573203437844,1,60,2,1,72,3,2,0.17484662576687046,3,0,4568,10034,0,1,0,20,4,3,80,0,10,2,3,9,5,8,7
566,42,0.2490974729235817,1271,0.1383975026014568,2,1,0.13577586206896552,1,875,2,1,35,3,1,0.16095890410958943,4,0,2515,9068,5,1,1,14,3,4,80,0,8,2,3,2,1,2,2
567,36,0.14956855225311602,325,0.1383975026014568,10,4,0.24242313209808733,1,1312,4,0,63,3,3,0.06870368828064846,3,1,7094,5747,3,1,0,12,3,1,80,0,10,0,3,7,7,1,7
568,55,0.14956855225311602,478,0.1383975026014568,2,3,0.13577586206896552,1,1770,3,1,60,2,5,0.02533683182797013,1,1,19038,19805,8,1,0,12,3,2,80,3,34,2,3,1,0,0,0
569,30,0.14956855225311602,1465,0.1383975026014568,1,3,0.13577586206896552,1,1241,4,1,63,3,1,0.16095890410958943,2,1,3579,9369,0,1,1,21,4,1,80,1,12,2,3,11,9,5,7
570,21,0.14956855225311602,337,0.2062780269058296,7,1,0.22012573203437844,1,1780,2,1,31,3,1,0.3971571172349599,2,0,2679,4567,1,1,0,13,3,2,80,0,1,3,3,1,0,1,0
571,29,0.2490974729235817,574,0.1383975026014568,20,1,0.13577586206896552,1,1852,4,1,40,3,1,0.23938223937897848,4,1,3812,7003,1,1,0,13,3,2,80,0,11,3,4,11,8,3,10
572,44,0.08000018359368788,381,0.1383975026014568,24,3,0.13577586206896552,1,744,1,1,49,1,1,0.23938223937897848,3,0,3708,2104,2,1,0,14,3,3,80,0,9,5,3,5,2,1,4
573,22,0.14956855225311602,594,0.1383975026014568,2,1,0.24242313209808733,1,169,3,1,100,3,1,0.23938223937897848,4,1,2523,19299,0,1,0,14,3,3,80,1,3,2,3,2,1,2,1
574,34,0.14956855225311602,546,0.1383975026014568,10,3,0.14686468646864687,1,934,2,1,83,3,1,0.23938223937897848,2,2,2008,6896,1,1,0,14,3,2,80,2,1,3,3,1,0,1,0
575,35,0.2490974729235817,880,0.2062780269058296,12,4,0.13420118338933018,1,1667,4,1,36,3,2,0.17484662576687046,4,0,4581,10414,3,1,1,24,4,1,80,0,13,2,4,11,9,6,7
576,29,0.14956855225311602,1086,0.1383975026014568,7,1,0.13577586206896552,1,912,1,0,62,2,1,0.23938223937897848,4,2,2532,6054,6,1,0,14,3,3,80,3,8,5,3,4,3,0,3
577,51,0.14956855225311602,632,0.2062780269058296,21,4,0.22012573203437844,1,120,3,1,71,3,2,0.17484662576687046,4,0,5441,8423,0,1,1,22,4,4,80,0,11,2,1,10,7,1,0
578,38,0.14956855225311602,1084,0.1383975026014568,29,3,0.24242313209808733,1,273,4,1,54,3,2,0.06896586105729074,4,1,6261,4185,3,1,0,18,3,1,80,1,9,3,1,7,7,1,7
579,50,0.14956855225311602,797,0.1383975026014568,4,1,0.14686468646864687,1,385,1,1,96,3,5,0.02533683182797013,2,2,19144,15815,3,1,0,14,3,1,80,2,28,4,2,10,4,1,6
580,40,0.14956855225311602,555,0.1383975026014568,2,3,0.13577586206896552,1,521,2,0,78,2,2,0.23938223937897848,3,1,3448,13436,6,1,0,22,4,2,80,1,20,3,3,1,0,0,0
581,32,0.14956855225311602,498,0.1383975026014568,3,4,0.13577586206896552,1,966,3,0,93,3,2,0.06896586105729074,1,1,6725,13554,1,1,0,12,3,3,80,1,8,2,4,8,7,6,3
582,30,0.14956855225311602,852,0.1383975026014568,1,1,0.14686468646864687,1,104,4,1,55,2,2,0.23938223937897848,4,1,5126,15998,1,1,1,12,3,3,80,2,10,1,2,10,8,3,0
583,28,0.14956855225311602,760,0.2062780269058296,2,4,0.22012573203437844,1,846,2,0,81,3,2,0.17484662576687046,2,1,4779,3698,1,1,1,20,4,1,80,0,8,2,3,8,7,7,5
584,47,0.14956855225311602,703,0.2062780269058296,14,4,0.22012573203437844,1,728,4,1,42,3,2,0.17484662576687046,1,0,4960,11825,2,1,0,12,3,4,80,0,20,2,3,7,7,1,7
585,42,0.14956855225311602,635,0.2062780269058296,1,1,0.14686468646864687,1,387,2,1,99,3,2,0.17484662576687046,3,1,4907,24532,1,1,0,25,4,3,80,0,20,3,3,20,16,11,6
586,40,0.2490974729235817,692,0.1383975026014568,11,3,0.24242313209808733,1,1985,4,0,73,3,2,0.23938223937897848,3,1,6323,26849,1,1,0,11,3,1,80,1,10,2,4,10,9,9,4
587,24,0.14956855225311602,1127,0.1383975026014568,18,1,0.14686468646864687,1,150,2,1,52,3,1,0.23938223937897848,3,1,2774,13257,0,1,0,12,3,3,80,1,6,2,3,5,3,1,2
588,32,0.14956855225311602,128,0.1383975026014568,2,1,0.24242313209808733,1,362,4,1,84,2,2,0.23938223937897848,1,0,2176,19737,4,1,0,13,3,4,80,0,9,5,3,6,2,0,4
589,27,0.14956855225311602,954,0.2062780269058296,9,3,0.22012573203437844,1,1965,4,1,44,3,2,0.17484662576687046,4,0,4105,5099,1,1,0,14,3,1,80,0,7,5,3,7,7,0,7
590,34,0.14956855225311602,1153,0.1383975026014568,1,2,0.13577586206896552,1,110,1,1,94,3,2,0.06896586105729074,2,1,4325,17736,1,1,0,15,3,3,80,0,5,2,3,5,2,1,3
591,35,0.08000018359368788,727,0.1383975026014568,3,3,0.14686468646864687,1,704,3,1,41,2,1,0.23938223937897848,3,1,1281,16900,1,1,0,18,3,3,80,2,1,3,3,1,0,0,0
592,30,0.14956855225311602,317,0.1383975026014568,2,3,0.14686468646864687,1,548,3,0,43,1,2,0.06896586105729074,4,0,6091,24793,2,1,0,20,4,3,80,0,11,2,3,5,4,0,2
593,45,0.08000018359368788,1195,0.1383975026014568,2,2,0.13577586206896552,1,264,1,1,65,2,4,0.04905041685272943,4,1,16792,20462,9,1,0,23,4,4,80,1,22,1,3,20,8,11,8
594,39,0.14956855225311602,1122,0.1383975026014568,6,3,0.13577586206896552,1,932,4,1,70,3,1,0.23938223937897848,1,1,2404,4303,7,1,1,21,4,4,80,0,8,2,1,2,2,2,2
595,54,0.08000018359368788,142,0.19008460036286423,26,3,0.22673012399864786,1,148,4,0,30,4,4,0.04905041685272943,4,0,17328,13871,2,1,1,12,3,3,80,0,23,3,3,5,3,4,4
596,26,0.14956855225311602,390,0.1383975026014568,17,4,0.13577586206896552,1,1718,4,1,62,1,1,0.23938223937897848,3,1,2305,6217,1,1,0,15,3,3,80,3,3,3,4,3,2,0,2
597,47,0.14956855225311602,571,0.2062780269058296,14,3,0.13577586206896552,1,1503,3,0,78,3,2,0.17484662576687046,3,1,4591,24200,3,1,1,17,3,3,80,1,11,4,2,5,4,1,2
598,38,0.2490974729235817,653,0.1383975026014568,29,5,0.14686468646864687,1,79,4,0,50,3,2,0.23938223937897848,4,0,2406,5456,1,1,0,11,3,4,80,0,10,2,3,10,3,9,9
599,40,0.14956855225311602,1124,0.2062780269058296,1,2,0.13577586206896552,1,453,2,1,57,1,2,0.17484662576687046,4,1,7457,13273,2,1,1,22,4,3,80,3,6,2,2,4,3,0,2
600,30,0.14956855225311602,1082,0.2062780269058296,12,3,0.24242313209808733,1,533,2,0,83,3,2,0.17484662576687046,3,0,6577,19558,0,1,0,11,3,2,80,0,6,6,3,5,4,4,4
601,34,0.14956855225311602,1239,0.2062780269058296,13,4,0.13577586206896552,1,1951,4,1,39,3,3,0.17484662576687046,3,2,8628,22914,1,1,0,18,3,3,80,1,9,2,2,8,7,1,1
602,28,0.14956855225311602,1083,0.1383975026014568,29,1,0.14686468646864687,1,1514,3,1,96,1,2,0.06896586105729074,2,1,6549,3173,1,1,0,14,3,2,80,2,8,2,2,8,6,1,7
603,29,0.2490974729235817,461,0.1383975026014568,1,3,0.14686468646864687,1,1753,4,1,70,4,2,0.06870368828064846,3,0,6294,23060,8,1,1,12,3,4,80,0,10,5,4,3,2,0,2
604,37,0.14956855225311602,799,0.1383975026014568,1,3,0.24242313209808733,1,623,2,0,59,3,3,0.06896586105729074,4,0,7491,23848,4,1,0,17,3,4,80,0,12,3,4,6,5,1,2
605,23,0.14956855225311602,160,0.1383975026014568,4,1,0.13577586206896552,1,1735,3,0,51,3,1,0.23938223937897848,2,0,3295,12862,1,1,0,13,3,3,80,0,3,3,1,3,2,1,2
606,51,0.14956855225311602,1469,0.1383975026014568,8,4,0.14686468646864687,1,296,2,1,81,2,3,0.02533683182797013,2,1,12490,15736,5,1,0,16,3,4,80,2,16,5,1,10,9,4,7
607,37,0.14956855225311602,783,0.1383975026014568,7,4,0.13577586206896552,1,1885,4,1,78,3,2,0.16095890410958943,1,1,4284,13588,5,1,1,22,4,3,80,1,16,2,3,5,3,0,4
608,52,0.14956855225311602,258,0.1383975026014568,8,4,0.13420118338933018,1,1409,3,0,54,3,1,0.23938223937897848,1,1,2950,17363,9,1,0,13,3,3,80,0,12,2,1,5,4,0,4
609,23,0.14956855225311602,310,0.1383975026014568,10,1,0.13577586206896552,1,784,1,1,79,4,1,0.16095890410958943,3,0,3505,19630,1,1,0,18,3,4,80,0,2,3,3,2,2,0,2
610,39,0.14956855225311602,141,0.19008460036286423,3,3,0.22673012399864786,1,760,3,0,44,4,2,0.22804546072229726,2,1,6389,18767,9,1,0,15,3,3,80,1,12,3,1,8,3,3,6
611,35,0.14956855225311602,737,0.2062780269058296,10,3,0.13577586206896552,1,1639,4,1,55,2,3,0.17484662576687046,1,1,10306,21530,9,1,0,17,3,3,80,0,15,3,3,13,12,6,0
612,51,0.14956855225311602,1405,0.1383975026014568,11,2,0.24242313209808733,1,1367,4,0,82,2,4,0.06896586105729074,2,0,13142,24439,3,1,0,16,3,2,80,0,29,1,2,5,2,0,3
613,35,0.14956855225311602,287,0.1383975026014568,1,4,0.14686468646864687,1,2052,3,0,62,1,1,0.16095890410958943,4,1,2977,8952,1,1,0,12,3,4,80,1,4,5,3,4,3,1,1
614,34,0.14956855225311602,829,0.19008460036286423,3,2,0.22673012399864786,1,847,3,1,88,3,1,0.22804546072229726,4,1,3737,2243,0,1,0,19,3,3,80,1,4,1,1,3,2,0,2
615,34,0.14956855225311602,404,0.1383975026014568,2,4,0.24242313209808733,1,1383,3,0,98,3,2,0.06870368828064846,4,0,6687,6163,1,1,0,11,3,4,80,0,14,2,4,14,11,4,11
616,50,0.14956855225311602,869,0.2062780269058296,3,2,0.22012573203437844,1,47,1,1,86,2,1,0.3971571172349599,3,1,2683,3810,1,1,1,14,3,3,80,0,3,2,3,3,2,0,2
617,30,0.2490974729235817,109,0.1383975026014568,5,3,0.13577586206896552,1,1017,2,0,60,3,1,0.23938223937897848,2,0,2422,25725,0,1,0,17,3,1,80,0,4,3,3,3,2,1,2
618,36,0.08000018359368788,217,0.1383975026014568,18,4,0.14686468646864687,1,1133,1,1,78,3,2,0.06896586105729074,4,0,7779,23238,2,1,0,20,4,1,80,0,18,0,3,11,9,0,9
619,29,0.14956855225311602,896,0.1383975026014568,18,1,0.13577586206896552,1,315,3,1,86,2,1,0.16095890410958943,4,0,2389,14961,1,1,1,13,3,3,80,0,4,3,2,4,3,0,1
620,36,0.08000018359368788,301,0.2062780269058296,15,4,0.22012573203437844,1,2036,4,1,88,1,2,0.17484662576687046,4,2,5406,10436,1,1,0,24,4,1,80,1,15,4,2,15,12,11,11
